route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1,470501_000,1,"Lido S.M.E. ""D""",,0,100001,1001_0_1,
1,470501_000,25,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,470501_000,69,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,470501_000,117,"Lido S.M.E. ""D""",,0,100006,1001_0_1,
1,470502_000,1870,"Lido S.M.E. ""D""",,0,100001,1001_0_1,
1,470502_000,1894,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,470502_000,1938,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,470502_000,1986,"Lido S.M.E. ""D""",,0,100006,1001_0_1,
1,470503_000,3699,"Lido S.M.E. ""D""",,0,100001,1001_0_1,
1,470503_000,3723,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,470503_000,3767,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,470503_000,3815,"Lido S.M.E. ""D""",,0,100006,1001_0_1,
1,470504_000,5497,"Lido S.M.E. ""D""",,0,100001,1001_0_1,
1,470504_000,5521,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,470504_000,5565,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,470504_000,5613,"Lido S.M.E. ""D""",,0,100006,1001_0_1,
1,470505_000,7366,"Lido S.M.E. ""D""",,0,100001,1001_0_1,
1,470505_000,7390,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,470505_000,7434,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,470505_000,7482,"Lido S.M.E. ""D""",,0,100006,1001_0_1,
1,470506_000,9229,"Lido S.M.E. ""D""",,0,100001,1001_0_1,
1,470506_000,9253,"Lido S.M.E. ""D""",,0,100002,1001_0_1,
1,470506_000,9297,"Lido S.M.E. ""D""",,0,100004,1001_0_1,
1,470506_000,9345,"Lido S.M.E. ""D""",,0,100006,1001_0_1,
2,470501_000,110,"Lido S.M.E. ""D""",,0,100005,1001_0_2,
2,470501_000,135,"Lido S.M.E. ""D""",,0,100006,1001_0_2,
2,470501_000,153,"Lido S.M.E. ""D""",,0,100007,1001_0_2,
2,470501_000,175,"Lido S.M.E. ""D""",,0,100008,1001_0_2,
2,470502_000,1979,"Lido S.M.E. ""D""",,0,100005,1001_0_2,
2,470502_000,2004,"Lido S.M.E. ""D""",,0,100006,1001_0_2,
2,470502_000,2022,"Lido S.M.E. ""D""",,0,100007,1001_0_2,
2,470502_000,2044,"Lido S.M.E. ""D""",,0,100008,1001_0_2,
2,470503_000,3808,"Lido S.M.E. ""D""",,0,100005,1001_0_2,
2,470503_000,3833,"Lido S.M.E. ""D""",,0,100006,1001_0_2,
2,470503_000,3851,"Lido S.M.E. ""D""",,0,100007,1001_0_2,
2,470503_000,3873,"Lido S.M.E. ""D""",,0,100008,1001_0_2,
2,470504_000,5606,"Lido S.M.E. ""D""",,0,100005,1001_0_2,
2,470504_000,5631,"Lido S.M.E. ""D""",,0,100006,1001_0_2,
2,470504_000,5649,"Lido S.M.E. ""D""",,0,100007,1001_0_2,
2,470504_000,5671,"Lido S.M.E. ""D""",,0,100008,1001_0_2,
2,470505_000,7475,"Lido S.M.E. ""D""",,0,100005,1001_0_2,
2,470505_000,7500,"Lido S.M.E. ""D""",,0,100006,1001_0_2,
2,470505_000,7518,"Lido S.M.E. ""D""",,0,100007,1001_0_2,
2,470505_000,7540,"Lido S.M.E. ""D""",,0,100008,1001_0_2,
2,470506_000,9338,"Lido S.M.E. ""D""",,0,100005,1001_0_2,
2,470506_000,9363,"Lido S.M.E. ""D""",,0,100006,1001_0_2,
2,470506_000,9381,"Lido S.M.E. ""D""",,0,100007,1001_0_2,
2,470506_000,9403,"Lido S.M.E. ""D""",,0,100008,1001_0_2,
3,470501_000,4,"Lido S.M.E. ""D""",,0,100001,1001_0_3,
3,470501_000,7,"Lido S.M.E. ""D""",,0,100001,1001_0_3,
3,470501_000,10,"Lido S.M.E. ""D""",,0,100001,1001_0_3,
3,470501_000,13,"Lido S.M.E. ""D""",,0,100001,1001_0_3,
3,470501_000,16,"Lido S.M.E. ""D""",,0,100001,1001_0_3,
3,470501_000,19,"Lido S.M.E. ""D""",,0,100001,1001_0_3,
3,470501_000,28,"Lido S.M.E. ""D""",,0,100002,1001_0_3,
3,470501_000,31,"Lido S.M.E. ""D""",,0,100002,1001_0_3,
3,470501_000,34,"Lido S.M.E. ""D""",,0,100002,1001_0_3,
3,470501_000,37,"Lido S.M.E. ""D""",,0,100002,1001_0_3,
3,470501_000,40,"Lido S.M.E. ""D""",,0,100002,1001_0_3,
3,470501_000,43,"Lido S.M.E. ""D""",,0,100002,1001_0_3,
3,470501_000,50,"Lido S.M.E. ""D""",,0,100003,1001_0_3,
3,470501_000,53,"Lido S.M.E. ""D""",,0,100003,1001_0_3,
3,470501_000,56,"Lido S.M.E. ""D""",,0,100003,1001_0_3,
3,470501_000,59,"Lido S.M.E. ""D""",,0,100003,1001_0_3,
3,470501_000,62,"Lido S.M.E. ""D""",,0,100003,1001_0_3,
